SCHOOL YEAR,SECTOR,REGION,GRADE LEVEL,GENDER,NUMBER OF ENROLLEES
2010-2011,PUBLIC,REGION 1,KINDERGARTEN,MALE,"  43,376 "
2010-2011,PUBLIC,REGION 2,KINDERGARTEN,MALE,"  13,837 "
2010-2011,PUBLIC,REGION 3,KINDERGARTEN,MALE,"  72,310 "
2010-2011,PUBLIC,REGION 4A,KINDERGARTEN,MALE,"  69,024 "
2010-2011,PUBLIC,REGION 4B,KINDERGARTEN,MALE,"  23,982 "
2010-2011,PUBLIC,REGION 5,KINDERGARTEN,MALE,"  54,747 "
2010-2011,PUBLIC,REGION 6,KINDERGARTEN,MALE,"  45,149 "
2010-2011,PUBLIC,REGION 7,KINDERGARTEN,MALE,"  61,820 "
2010-2011,PUBLIC,REGION 8,KINDERGARTEN,MALE,"  34,062 "
2010-2011,PUBLIC,REGION 9,KINDERGARTEN,MALE,"  31,041 "
2010-2011,PUBLIC,REGION 10,KINDERGARTEN,MALE,"  29,013 "
2010-2011,PUBLIC,REGION 11,KINDERGARTEN,MALE,"  21,742 "
2010-2011,PUBLIC,REGION 12,KINDERGARTEN,MALE,"  30,853 "
2010-2011,PUBLIC,CARAGA,KINDERGARTEN,MALE,"  24,993 "
2010-2011,PUBLIC,BARMM,KINDERGARTEN,MALE,"  25,600 "
2010-2011,PUBLIC,CAR,KINDERGARTEN,MALE,"  9,956 "
2010-2011,PUBLIC,NCR,KINDERGARTEN,MALE,"  35,030 "
2010-2011,PUBLIC,REGION 1,KINDERGARTEN,FEMALE,"  41,177 "
2010-2011,PUBLIC,REGION 2,KINDERGARTEN,FEMALE,"  13,242 "
2010-2011,PUBLIC,REGION 3,KINDERGARTEN,FEMALE,"  69,591 "
2010-2011,PUBLIC,REGION 4A,KINDERGARTEN,FEMALE,"  66,125 "
2010-2011,PUBLIC,REGION 4B,KINDERGARTEN,FEMALE,"  23,307 "
2010-2011,PUBLIC,REGION 5,KINDERGARTEN,FEMALE,"  51,535 "
2010-2011,PUBLIC,REGION 6,KINDERGARTEN,FEMALE,"  43,558 "
2010-2011,PUBLIC,REGION 7,KINDERGARTEN,FEMALE,"  58,733 "
2010-2011,PUBLIC,REGION 8,KINDERGARTEN,FEMALE,"  33,111 "
2010-2011,PUBLIC,REGION 9,KINDERGARTEN,FEMALE,"  29,631 "
2010-2011,PUBLIC,REGION 10,KINDERGARTEN,FEMALE,"  28,089 "
2010-2011,PUBLIC,REGION 11,KINDERGARTEN,FEMALE,"  20,675 "
2010-2011,PUBLIC,REGION 12,KINDERGARTEN,FEMALE,"  30,667 "
2010-2011,PUBLIC,CARAGA,KINDERGARTEN,FEMALE,"  23,744 "
2010-2011,PUBLIC,BARMM,KINDERGARTEN,FEMALE,"  29,621 "
2010-2011,PUBLIC,CAR,KINDERGARTEN,FEMALE,"  9,388 "
2010-2011,PUBLIC,NCR,KINDERGARTEN,FEMALE,"  34,584 "
2010-2011,PRIVATE,REGION 1,KINDERGARTEN,MALE,"  9,046 "
2010-2011,PRIVATE,REGION 2,KINDERGARTEN,MALE,"  6,146 "
2010-2011,PRIVATE,REGION 3,KINDERGARTEN,MALE,"  27,973 "
2010-2011,PRIVATE,REGION 4A,KINDERGARTEN,MALE,"  39,517 "
2010-2011,PRIVATE,REGION 4B,KINDERGARTEN,MALE,"  3,604 "
2010-2011,PRIVATE,REGION 5,KINDERGARTEN,MALE,"  8,230 "
2010-2011,PRIVATE,REGION 6,KINDERGARTEN,MALE,"  12,941 "
2010-2011,PRIVATE,REGION 7,KINDERGARTEN,MALE,"  17,877 "
2010-2011,PRIVATE,REGION 8,KINDERGARTEN,MALE,"  5,311 "
2010-2011,PRIVATE,REGION 9,KINDERGARTEN,MALE,"  4,446 "
2010-2011,PRIVATE,REGION 10,KINDERGARTEN,MALE,"  8,985 "
2010-2011,PRIVATE,REGION 11,KINDERGARTEN,MALE,"  10,366 "
2010-2011,PRIVATE,REGION 12,KINDERGARTEN,MALE,"  7,855 "
2010-2011,PRIVATE,CARAGA,KINDERGARTEN,MALE,"  3,383 "
2010-2011,PRIVATE,BARMM,KINDERGARTEN,MALE,"  2,196 "
2010-2011,PRIVATE,CAR,KINDERGARTEN,MALE,"  3,332 "
2010-2011,PRIVATE,NCR,KINDERGARTEN,MALE,"  45,337 "
2010-2011,PRIVATE,REGION 1,KINDERGARTEN,FEMALE,"  8,932 "
2010-2011,PRIVATE,REGION 2,KINDERGARTEN,FEMALE,"  6,050 "
2010-2011,PRIVATE,REGION 3,KINDERGARTEN,FEMALE,"  27,569 "
2010-2011,PRIVATE,REGION 4A,KINDERGARTEN,FEMALE,"  37,994 "
2010-2011,PRIVATE,REGION 4B,KINDERGARTEN,FEMALE,"  3,505 "
2010-2011,PRIVATE,REGION 5,KINDERGARTEN,FEMALE,"  7,961 "
2010-2011,PRIVATE,REGION 6,KINDERGARTEN,FEMALE,"  12,898 "
2010-2011,PRIVATE,REGION 7,KINDERGARTEN,FEMALE,"  17,670 "
2010-2011,PRIVATE,REGION 8,KINDERGARTEN,FEMALE,"  5,045 "
2010-2011,PRIVATE,REGION 9,KINDERGARTEN,FEMALE,"  4,413 "
2010-2011,PRIVATE,REGION 10,KINDERGARTEN,FEMALE,"  8,382 "
2010-2011,PRIVATE,REGION 11,KINDERGARTEN,FEMALE,"  9,799 "
2010-2011,PRIVATE,REGION 12,KINDERGARTEN,FEMALE,"  7,740 "
2010-2011,PRIVATE,CARAGA,KINDERGARTEN,FEMALE,"  3,326 "
2010-2011,PRIVATE,BARMM,KINDERGARTEN,FEMALE,"  2,266 "
2010-2011,PRIVATE,CAR,KINDERGARTEN,FEMALE,"  2,975 "
2010-2011,PRIVATE,NCR,KINDERGARTEN,FEMALE,"  42,989 "
2010-2011,SUCSLUCS,REGION 1,KINDERGARTEN,MALE,  212 
2010-2011,SUCSLUCS,REGION 2,KINDERGARTEN,MALE, - 
2010-2011,SUCSLUCS,REGION 3,KINDERGARTEN,MALE, - 
2010-2011,SUCSLUCS,REGION 4A,KINDERGARTEN,MALE,  274 
2010-2011,SUCSLUCS,REGION 4B,KINDERGARTEN,MALE,  25 
2010-2011,SUCSLUCS,REGION 5,KINDERGARTEN,MALE,  74 
2010-2011,SUCSLUCS,REGION 6,KINDERGARTEN,MALE,  58 
2010-2011,SUCSLUCS,REGION 7,KINDERGARTEN,MALE,  242 
2010-2011,SUCSLUCS,REGION 8,KINDERGARTEN,MALE,  14 
