SCHOOL YEAR,SECTOR,REGION,GRADE LEVEL,GENDER,NUMBER OF ENROLLEES
2010-2011,PUBLIC,REGION 1,GRADE 7,MALE ,"44,120"
2010-2011,PUBLIC,REGION 2,GRADE 7,MALE ,"27,455"
2010-2011,PUBLIC,REGION 3,GRADE 7,MALE ,"90,794"
2010-2011,PUBLIC,REGION 4A,GRADE 7,MALE ,"107,787"
2010-2011,PUBLIC,REGION 4B,GRADE 7,MALE ,"29,048"
2010-2011,PUBLIC,REGION 5,GRADE 7,MALE ,"59,786"
2010-2011,PUBLIC,REGION 6,GRADE 7,MALE ,"71,450"
2010-2011,PUBLIC,REGION 7,GRADE 7,MALE ,"67,210"
2010-2011,PUBLIC,REGION 8,GRADE 7,MALE ,"46,250"
2010-2011,PUBLIC,REGION 9,GRADE 7,MALE ,"32,584"
2010-2011,PUBLIC,REGION 10,GRADE 7,MALE ,"36,572"
2010-2011,PUBLIC,REGION 11,GRADE 7,MALE ,"38,084"
2010-2011,PUBLIC,REGION 12,GRADE 7,MALE ,"35,583"
2010-2011,PUBLIC,CARAGA,GRADE 7,MALE ,"23,971"
2010-2011,PUBLIC,BARMM,GRADE 7,MALE ,"24,979"
2010-2011,PUBLIC,CAR,GRADE 7,MALE ,"13,078"
2010-2011,PUBLIC,NCR,GRADE 7,MALE ,"101,432"
2010-2011,PUBLIC,REGION 1,GRADE 8,MALE ,"40,018"
2010-2011,PUBLIC,REGION 2,GRADE 8,MALE ,"25,415"
2010-2011,PUBLIC,REGION 3,GRADE 8,MALE ,"78,233"
2010-2011,PUBLIC,REGION 4A,GRADE 8,MALE ,"92,760"
2010-2011,PUBLIC,REGION 4B,GRADE 8,MALE ,"24,124"
2010-2011,PUBLIC,REGION 5,GRADE 8,MALE ,"49,042"
2010-2011,PUBLIC,REGION 6,GRADE 8,MALE ,"63,093"
2010-2011,PUBLIC,REGION 7,GRADE 8,MALE ,"54,895"
2010-2011,PUBLIC,REGION 8,GRADE 8,MALE ,"38,121"
2010-2011,PUBLIC,REGION 9,GRADE 8,MALE ,"26,927"
2010-2011,PUBLIC,REGION 10,GRADE 8,MALE ,"29,874"
2010-2011,PUBLIC,REGION 11,GRADE 8,MALE ,"31,330"
2010-2011,PUBLIC,REGION 12,GRADE 8,MALE ,"29,927"
2010-2011,PUBLIC,CARAGA,GRADE 8,MALE ,"21,192"
2010-2011,PUBLIC,BARMM,GRADE 8,MALE ,"20,747"
2010-2011,PUBLIC,CAR,GRADE 8,MALE ,"10,928"
2010-2011,PUBLIC,NCR,GRADE 8,MALE ,"88,496"
2010-2011,PUBLIC,REGION 1,GRADE 9,MALE ,"37,282"
2010-2011,PUBLIC,REGION 2,GRADE 9,MALE ,"22,991"
2010-2011,PUBLIC,REGION 3,GRADE 9,MALE ,"67,934"
