SCHOOL YEAR,SECTOR,REGION,GRADE LEVEL,GENDER,NUMBER OF ENROLLEES
2010-2011,PRIVATE,BARMM,GRADE 1,FEMALE,1409
2010-2011,PRIVATE,BARMM,GRADE 1,MALE,1389
2010-2011,PRIVATE,BARMM,GRADE 10,FEMALE,3268
2010-2011,PRIVATE,BARMM,GRADE 10,MALE,2460
2010-2011,PRIVATE,BARMM,GRADE 2,FEMALE,1218
2010-2011,PRIVATE,BARMM,GRADE 2,MALE,1300
2010-2011,PRIVATE,BARMM,GRADE 3,FEMALE,1056
2010-2011,PRIVATE,BARMM,GRADE 3,MALE,1010
2010-2011,PRIVATE,BARMM,GRADE 4,FEMALE,1006
2010-2011,PRIVATE,BARMM,GRADE 4,MALE,907
2010-2011,PRIVATE,BARMM,GRADE 5,FEMALE,1007
2010-2011,PRIVATE,BARMM,GRADE 5,MALE,796
2010-2011,PRIVATE,BARMM,GRADE 6,FEMALE,962
2010-2011,PRIVATE,BARMM,GRADE 6,MALE,813
2010-2011,PRIVATE,BARMM,GRADE 7,FEMALE,4834
2010-2011,PRIVATE,BARMM,GRADE 7,MALE,3756
2010-2011,PRIVATE,BARMM,GRADE 8,FEMALE,4398
2010-2011,PRIVATE,BARMM,GRADE 8,MALE,3372
2010-2011,PRIVATE,BARMM,GRADE 9,FEMALE,3651
2010-2011,PRIVATE,BARMM,GRADE 9,MALE,2801
2010-2011,PRIVATE,BARMM,KINDERGARTEN,FEMALE,2266
2010-2011,PRIVATE,BARMM,KINDERGARTEN,MALE,2196
2010-2011,PRIVATE,CAR,GRADE 1,FEMALE,2093
2010-2011,PRIVATE,CAR,GRADE 1,MALE,2211
2010-2011,PRIVATE,CAR,GRADE 10,FEMALE,4154
2010-2011,PRIVATE,CAR,GRADE 10,MALE,3707
2010-2011,PRIVATE,CAR,GRADE 2,FEMALE,1985
2010-2011,PRIVATE,CAR,GRADE 2,MALE,2087
2010-2011,PRIVATE,CAR,GRADE 3,FEMALE,1829
2010-2011,PRIVATE,CAR,GRADE 3,MALE,1994
2010-2011,PRIVATE,CAR,GRADE 4,FEMALE,1852
2010-2011,PRIVATE,CAR,GRADE 4,MALE,1971
2010-2011,PRIVATE,CAR,GRADE 5,FEMALE,1847
2010-2011,PRIVATE,CAR,GRADE 5,MALE,1885
2010-2011,PRIVATE,CAR,GRADE 6,FEMALE,1741
2010-2011,PRIVATE,CAR,GRADE 6,MALE,1784
2010-2011,PRIVATE,CAR,GRADE 7,FEMALE,4590
